8008,1647975201231,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page44,enter,0.4787,11148,derprozess-0-1-1-1-1;derprozess-0-1-2-1-1;derprozess-0-1-2-1-13;derprozess-0-1-2-1-14;derprozess-0-1-2-1-18;derprozess-0-1-2-1-19;derprozess-0-1-2-1-21;derprozess-0-1-2-1-3;derprozess-0-1-2-1-5;derprozess-0-1-2-1-7;derprozess-0-1-2-1-8;derprozess-0-2-2-1-12;derprozess-0-2-2-1-13;derprozess-0-2-2-1-14;derprozess-0-2-2-1-15;derprozess-0-2-2-1-21;derprozess-0-2-2-1-22;derprozess-0-2-2-1-23;derprozess-0-2-2-1-24;derprozess-0-2-2-1-30;derprozess-0-2-2-1-5;derprozess-0-2-2-1-6;derprozess-0-2-2-1-7;derprozess-0-3-1-1-1;derprozess-0-3-2-1-1;derprozess-0-3-2-1-10;derprozess-0-3-2-1-11;derprozess-0-3-2-1-8;derprozess-0-4-2-1-5;derprozess-0-4-2-1-6;derprozess-0-5-1-1-1;derprozess-0-5-2-1-1;derprozess-0-6-2-1-10;derprozess-0-6-2-1-11;derprozess-0-6-2-1-12;derprozess-0-6-2-1-13;derprozess-0-6-2-1-4;derprozess-0-6-2-1-5;derprozess-0-6-2-1-6;derprozess-0-6-2-1-9
8009,1647975201674,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page43,enter,0.4681,1651,derprozess-0-6-2-1-10;derprozess-0-6-2-1-11;derprozess-0-6-2-1-12;derprozess-0-6-2-1-13;derprozess-0-6-2-1-9
8010,1647975209582,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,location,set,ort-3,0,
8011,1647975210384,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page42,enter,0.4574,1136,derprozess-0-6-2-1-9
8012,1647975212367,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page38,enter,0.4149,1827,derprozess-0-6-2-1-4;derprozess-0-6-2-1-5;derprozess-0-6-2-1-6
8013,1647975211933,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page39,enter,0.4255,984,derprozess-0-6-2-1-5;derprozess-0-6-2-1-6
8014,1647975232211,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page19,enter,0.2128,870,derprozess-0-2-2-1-30;derprozess-0-3-1-1-1;derprozess-0-3-2-1-1;derprozess-0-3-2-1-5;derprozess-0-3-2-1-6
8015,1647975233194,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page17,enter,0.1915,1976,derprozess-0-2-2-1-16;derprozess-0-2-2-1-17;derprozess-0-2-2-1-18;derprozess-0-2-2-1-19;derprozess-0-2-2-1-20;derprozess-0-2-2-1-21;derprozess-0-2-2-1-22;derprozess-0-2-2-1-23;derprozess-0-2-2-1-24;derprozess-0-2-2-1-25;derprozess-0-2-2-1-26;derprozess-0-2-2-1-27;derprozess-0-2-2-1-28;derprozess-0-2-2-1-29
8016,1647975232594,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page18,enter,0.2021,1948,derprozess-0-2-2-1-21;derprozess-0-2-2-1-22;derprozess-0-2-2-1-23;derprozess-0-2-2-1-24;derprozess-0-2-2-1-25;derprozess-0-2-2-1-26;derprozess-0-2-2-1-27;derprozess-0-2-2-1-28;derprozess-0-2-2-1-29;derprozess-0-2-2-1-30;derprozess-0-3-1-1-1;derprozess-0-3-2-1-1
8017,1647975233795,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page16,enter,0.1809,1987,derprozess-0-2-2-1-12;derprozess-0-2-2-1-13;derprozess-0-2-2-1-14;derprozess-0-2-2-1-15;derprozess-0-2-2-1-16;derprozess-0-2-2-1-17;derprozess-0-2-2-1-18;derprozess-0-2-2-1-19;derprozess-0-2-2-1-20;derprozess-0-2-2-1-21;derprozess-0-2-2-1-22;derprozess-0-2-2-1-23;derprozess-0-2-2-1-24
